datetime,gsr,ir,accel_mag,gyro_mag,mag_mag,label
2025-04-18 08:35:00,-99.85,52643,0.96,0.11,0.87,hydrated
2025-04-18 08:36:00,-184.8,43345,0.95,0.09,0.9,dehydrated
2025-04-18 08:37:00,-185.04,47095,0.96,0.09,0.93,dehydrated
2025-04-18 08:38:00,-240.63,44206,0.96,0.05,0.85,dehydrated
2025-04-18 08:39:00,-73.24,54524,1.02,0.07,0.91,hydrated
2025-04-18 08:40:00,-121.15,49970,1.03,0.05,0.81,mildly_dehydrated
2025-04-18 08:41:00,-102.98,51815,1.02,0.07,0.88,mildly_dehydrated
2025-04-18 08:42:00,-248.45,47569,1.02,0.07,0.82,dehydrated
2025-04-18 08:43:00,-164.89,43901,0.92,0.07,0.8,dehydrated
2025-04-18 08:44:00,-103.19,50784,0.96,0.07,0.85,mildly_dehydrated
2025-04-18 08:45:00,-162.26,46444,0.94,0.09,0.89,dehydrated
2025-04-18 08:46:00,-214.05,43761,1.03,0.08,0.87,dehydrated
2025-04-18 08:47:00,-170.17,45899,1.19,0.09,0.88,dehydrated
2025-04-18 08:48:00,-73.3,53351,0.96,0.07,0.83,hydrated
2025-04-18 08:49:00,-126.72,50170,1.0,0.08,0.79,mildly_dehydrated
2025-04-18 08:50:00,-99.08,52149,0.98,0.09,0.85,hydrated
2025-04-18 08:51:00,-173.0,43294,0.95,0.06,0.86,dehydrated
2025-04-18 08:52:00,-244.83,45188,1.11,0.08,0.77,dehydrated
2025-04-18 08:53:00,-110.24,49083,1.01,0.05,0.85,mildly_dehydrated
2025-04-18 08:54:00,-99.24,55850,1.03,0.09,0.8,hydrated
2025-04-18 08:55:00,-95.31,53000,0.98,0.11,0.87,hydrated
2025-04-18 08:56:00,-80.19,53119,1.11,0.09,0.79,hydrated
2025-04-18 08:57:00,-132.2,51031,0.98,0.08,0.88,mildly_dehydrated
2025-04-18 08:58:00,-126.29,48391,0.84,0.05,0.84,mildly_dehydrated
2025-04-18 08:59:00,-210.15,45695,0.94,0.06,0.86,dehydrated
2025-04-18 09:00:00,-212.54,45755,1.06,0.07,0.81,dehydrated
2025-04-18 09:01:00,-242.94,45854,1.02,0.07,0.83,dehydrated
2025-04-18 09:02:00,-155.98,45452,1.08,0.05,0.94,dehydrated
2025-04-18 09:03:00,-155.85,44316,0.9,0.08,0.83,dehydrated
2025-04-18 09:04:00,-242.88,43913,0.97,0.09,0.86,dehydrated
2025-04-18 09:05:00,-187.11,47264,0.97,0.09,0.88,dehydrated
2025-04-18 09:06:00,-221.8,43064,1.04,0.08,0.85,dehydrated
2025-04-18 09:07:00,-212.8,46658,1.01,0.08,0.84,dehydrated
2025-04-18 09:08:00,-164.16,44573,1.04,0.09,0.9,dehydrated
2025-04-18 09:09:00,-90.4,55582,1.0,0.08,0.84,hydrated
2025-04-18 09:10:00,-71.48,54293,0.96,0.11,0.81,hydrated
2025-04-18 09:11:00,-79.82,55009,0.94,0.08,0.88,hydrated
2025-04-18 09:12:00,-97.26,53977,1.0,0.06,0.89,hydrated
2025-04-18 09:13:00,-89.47,52468,0.99,0.08,0.83,hydrated
2025-04-18 09:14:00,-81.45,52404,1.01,0.06,0.83,hydrated
2025-04-18 09:15:00,-145.76,51946,1.01,0.04,0.79,mildly_dehydrated
2025-04-18 09:16:00,-109.36,51788,0.96,0.07,0.86,mildly_dehydrated
2025-04-18 09:17:00,-87.27,55625,1.07,0.07,0.81,hydrated
2025-04-18 09:18:00,-248.86,44811,1.02,0.05,0.87,dehydrated
2025-04-18 09:19:00,-101.89,49499,1.08,0.08,0.83,mildly_dehydrated
2025-04-18 09:20:00,-93.29,55852,1.01,0.07,0.85,hydrated
2025-04-18 09:21:00,-101.53,50092,0.96,0.1,0.89,mildly_dehydrated
2025-04-18 09:22:00,-204.55,45765,1.04,0.07,0.94,dehydrated
2025-04-18 09:23:00,-136.13,48752,0.96,0.03,0.83,mildly_dehydrated
2025-04-18 09:24:00,-191.63,42466,1.02,0.11,0.89,dehydrated
2025-04-18 09:25:00,-115.76,48650,0.97,0.04,0.92,mildly_dehydrated
2025-04-18 09:26:00,-103.36,51464,1.06,0.06,0.78,mildly_dehydrated
2025-04-18 09:27:00,-70.9,55368,1.07,0.07,0.9,hydrated
2025-04-18 09:28:00,-87.56,53093,1.0,0.07,0.83,hydrated
2025-04-18 09:29:00,-127.47,48516,1.03,0.07,0.87,mildly_dehydrated
2025-04-18 09:30:00,-93.14,54686,0.92,0.1,0.86,hydrated
2025-04-18 09:31:00,-123.98,51089,0.96,0.09,0.85,mildly_dehydrated
2025-04-18 09:32:00,-122.4,50243,0.99,0.09,0.88,mildly_dehydrated
2025-04-18 09:33:00,-78.88,52851,1.07,0.09,0.78,hydrated
2025-04-18 09:34:00,-210.78,44624,0.99,0.08,0.91,dehydrated
2025-04-18 09:35:00,-88.1,54488,1.0,0.04,0.85,hydrated
2025-04-18 09:36:00,-86.23,55920,0.9,0.07,0.8,hydrated
2025-04-18 09:37:00,-97.72,52515,1.03,0.08,0.81,hydrated
2025-04-18 09:38:00,-231.81,44074,1.0,0.09,0.81,dehydrated
2025-04-18 09:39:00,-94.23,52163,1.03,0.06,0.82,hydrated
2025-04-18 09:40:00,-94.69,52354,0.99,0.05,0.83,hydrated
2025-04-18 09:41:00,-199.66,46142,0.94,0.06,0.86,dehydrated
2025-04-18 09:42:00,-73.79,55683,0.99,0.07,0.87,hydrated
2025-04-18 09:43:00,-94.46,52837,1.04,0.06,0.76,hydrated
2025-04-18 09:44:00,-119.09,49475,1.08,0.07,0.87,mildly_dehydrated
2025-04-18 09:45:00,-84.65,54128,1.02,0.07,0.81,hydrated
2025-04-18 09:46:00,-196.74,43454,0.96,0.04,0.82,dehydrated
2025-04-18 09:47:00,-96.41,55562,0.95,0.1,0.89,hydrated
2025-04-18 09:48:00,-110.54,49993,1.0,0.05,0.91,mildly_dehydrated
2025-04-18 09:49:00,-206.83,42765,1.03,0.05,0.79,dehydrated
2025-04-18 09:50:00,-185.41,45424,0.93,0.08,0.82,dehydrated
2025-04-18 09:51:00,-231.34,43710,0.98,0.07,0.82,dehydrated
2025-04-18 09:52:00,-129.48,51929,0.99,0.05,0.83,mildly_dehydrated
2025-04-18 09:53:00,-94.87,54674,1.04,0.07,0.88,hydrated
2025-04-18 09:54:00,-82.85,53119,0.97,0.08,0.82,hydrated
2025-04-18 09:55:00,-124.62,48969,0.91,0.08,0.81,mildly_dehydrated
2025-04-18 09:56:00,-135.57,50324,1.0,0.05,0.82,mildly_dehydrated
2025-04-18 09:57:00,-216.34,42806,1.0,0.09,0.83,dehydrated
2025-04-18 09:58:00,-92.36,54726,1.03,0.1,0.75,hydrated
2025-04-18 09:59:00,-89.53,55718,0.96,0.08,0.83,hydrated
2025-04-18 10:00:00,-156.17,43087,1.0,0.07,0.9,dehydrated
2025-04-18 10:01:00,-236.02,46771,1.01,0.06,0.83,dehydrated
2025-04-18 10:02:00,-233.57,46887,1.01,0.11,0.88,dehydrated
2025-04-18 10:03:00,-210.76,46899,0.98,0.03,0.81,dehydrated
2025-04-18 10:04:00,-126.87,49205,1.0,0.1,0.86,mildly_dehydrated
2025-04-18 10:05:00,-211.61,45261,0.99,0.07,0.88,dehydrated
2025-04-18 10:06:00,-96.49,55759,0.93,0.09,0.86,hydrated
2025-04-18 10:07:00,-81.4,54133,0.98,0.07,0.86,hydrated
2025-04-18 10:08:00,-234.83,43870,1.04,0.05,0.85,dehydrated
2025-04-18 10:09:00,-111.88,51507,0.98,0.09,0.83,mildly_dehydrated
2025-04-18 10:10:00,-144.47,51385,0.99,0.05,0.83,mildly_dehydrated
2025-04-18 10:11:00,-138.54,50889,1.02,0.09,0.9,mildly_dehydrated
2025-04-18 10:12:00,-79.18,54170,0.96,0.05,0.78,hydrated
2025-04-18 10:13:00,-203.8,47683,1.07,0.08,0.8,dehydrated
2025-04-18 10:14:00,-199.41,45668,1.01,0.08,0.87,dehydrated
2025-04-18 10:15:00,-114.64,48610,1.01,0.11,0.9,mildly_dehydrated
2025-04-18 10:16:00,-128.79,50945,0.95,0.07,0.85,mildly_dehydrated
2025-04-18 10:17:00,-190.87,44394,1.05,0.07,0.83,dehydrated
2025-04-18 10:18:00,-169.71,42027,0.95,0.04,0.88,dehydrated
2025-04-18 10:19:00,-215.37,44081,1.0,0.06,0.92,dehydrated
2025-04-18 10:20:00,-138.77,49809,0.99,0.06,0.74,mildly_dehydrated
2025-04-18 10:21:00,-158.52,44174,1.0,0.11,0.9,dehydrated
2025-04-18 10:22:00,-248.69,45981,0.99,0.05,0.95,dehydrated
2025-04-18 10:23:00,-97.99,54999,1.0,0.07,0.84,hydrated
2025-04-18 10:24:00,-229.49,43144,1.0,0.06,0.82,dehydrated
2025-04-18 10:25:00,-172.45,44719,1.01,0.02,0.89,dehydrated
2025-04-18 10:26:00,-87.98,54238,0.98,0.06,0.79,hydrated
2025-04-18 10:27:00,-185.6,44452,0.96,0.09,0.9,dehydrated
2025-04-18 10:28:00,-148.65,48887,1.04,0.05,0.83,mildly_dehydrated
2025-04-18 10:29:00,-80.42,52952,1.02,0.07,0.84,hydrated
2025-04-18 10:30:00,-177.77,47134,0.98,0.09,0.81,dehydrated
2025-04-18 10:31:00,-135.34,51585,1.03,0.08,0.8,mildly_dehydrated
2025-04-18 10:32:00,-207.86,47356,0.97,0.09,0.82,dehydrated
2025-04-18 10:33:00,-120.49,49072,0.93,0.04,0.92,mildly_dehydrated
2025-04-18 10:34:00,-194.8,44616,1.01,0.07,0.83,dehydrated
2025-04-18 10:35:00,-106.58,49949,1.02,0.07,0.86,mildly_dehydrated
2025-04-18 10:36:00,-87.24,52089,1.02,0.04,0.8,hydrated
2025-04-18 10:37:00,-95.82,55339,1.04,0.07,0.86,hydrated
2025-04-18 10:38:00,-141.42,49089,1.01,0.05,0.87,mildly_dehydrated
2025-04-18 10:39:00,-117.43,51318,0.91,0.08,0.89,mildly_dehydrated
2025-04-18 10:40:00,-189.95,45990,0.91,0.04,0.83,dehydrated
2025-04-18 10:41:00,-95.01,54952,1.0,0.07,0.82,hydrated
2025-04-18 10:42:00,-225.47,44335,0.95,0.04,0.81,dehydrated
2025-04-18 10:43:00,-121.68,49904,1.05,0.08,0.86,mildly_dehydrated
2025-04-18 10:44:00,-176.74,43289,0.97,0.07,0.95,dehydrated
2025-04-18 10:45:00,-216.58,46625,1.0,0.07,0.92,dehydrated
2025-04-18 10:46:00,-79.35,53739,1.04,0.06,0.88,hydrated
2025-04-18 10:47:00,-222.79,45541,1.05,0.06,0.84,dehydrated
2025-04-18 10:48:00,-104.13,48547,1.0,0.08,0.86,mildly_dehydrated
2025-04-18 10:49:00,-106.35,50928,0.93,0.08,0.89,mildly_dehydrated
2025-04-18 10:50:00,-115.39,51396,1.0,0.04,0.87,mildly_dehydrated
2025-04-18 10:51:00,-140.97,50271,1.01,0.05,0.89,mildly_dehydrated
2025-04-18 10:52:00,-157.56,47826,1.0,0.08,0.85,dehydrated
2025-04-18 10:53:00,-218.09,46973,1.0,0.07,0.83,dehydrated
2025-04-18 10:54:00,-227.0,42723,1.01,0.06,0.9,dehydrated
2025-04-18 10:55:00,-146.73,49261,0.96,0.1,0.86,mildly_dehydrated
2025-04-18 10:56:00,-134.06,50503,1.01,0.09,0.85,mildly_dehydrated
2025-04-18 10:57:00,-103.05,51195,1.05,0.06,0.91,mildly_dehydrated
2025-04-18 10:58:00,-126.01,50510,0.98,0.1,0.91,mildly_dehydrated
2025-04-18 10:59:00,-92.84,52441,0.97,0.04,0.81,hydrated
2025-04-18 11:00:00,-91.11,52934,1.0,0.07,0.91,hydrated
2025-04-18 11:01:00,-228.17,47699,0.95,0.09,0.84,dehydrated
2025-04-18 11:02:00,-155.53,44804,0.94,0.08,0.86,dehydrated
2025-04-18 11:03:00,-119.61,50050,1.02,0.06,0.83,mildly_dehydrated
2025-04-18 11:04:00,-93.39,52745,0.97,0.09,0.91,hydrated
2025-04-18 11:05:00,-79.12,52615,0.97,0.06,0.88,hydrated
2025-04-18 11:06:00,-93.29,54147,1.08,0.11,0.83,hydrated
2025-04-18 11:07:00,-73.34,55822,0.98,0.08,0.86,hydrated
2025-04-18 11:08:00,-80.34,54203,0.99,0.05,0.79,hydrated
2025-04-18 11:09:00,-177.66,44975,0.96,0.06,0.86,dehydrated
2025-04-18 11:10:00,-164.88,44970,1.13,0.06,0.83,dehydrated
2025-04-18 11:11:00,-79.66,54262,1.05,0.08,0.84,hydrated
2025-04-18 11:12:00,-76.08,54633,1.04,0.08,0.89,hydrated
2025-04-18 11:13:00,-81.44,55010,1.06,0.07,0.86,hydrated
2025-04-18 11:14:00,-89.95,54974,1.02,0.06,0.85,hydrated
2025-04-18 11:15:00,-149.68,49148,1.06,0.07,0.85,mildly_dehydrated
2025-04-18 11:16:00,-186.82,43558,1.03,0.11,0.84,dehydrated
2025-04-18 11:17:00,-173.9,45247,1.01,0.07,0.86,dehydrated
2025-04-18 11:18:00,-186.74,47592,0.98,0.07,0.89,dehydrated
2025-04-18 11:19:00,-97.98,54328,0.95,0.09,0.79,hydrated
2025-04-18 11:20:00,-147.71,51486,0.97,0.08,0.91,mildly_dehydrated
2025-04-18 11:21:00,-79.5,53783,1.0,0.04,0.76,hydrated
2025-04-18 11:22:00,-95.09,55179,0.95,0.08,0.86,hydrated
2025-04-18 11:23:00,-80.36,53093,0.97,0.08,0.85,hydrated
2025-04-18 11:24:00,-87.41,54554,0.92,0.06,0.85,hydrated
2025-04-18 11:25:00,-73.18,52919,1.01,0.04,0.91,hydrated
2025-04-18 11:26:00,-106.78,49892,1.02,0.08,0.87,mildly_dehydrated
2025-04-18 11:27:00,-173.9,45757,1.02,0.07,0.88,dehydrated
2025-04-18 11:28:00,-170.35,44889,0.97,0.11,0.85,dehydrated
2025-04-18 11:29:00,-146.79,50327,0.93,0.09,0.82,mildly_dehydrated
2025-04-18 11:30:00,-134.48,49820,0.98,0.02,0.79,mildly_dehydrated
2025-04-18 11:31:00,-79.15,55440,1.04,0.05,0.85,hydrated
2025-04-18 11:32:00,-92.74,55946,1.0,0.05,0.91,hydrated
2025-04-18 11:33:00,-83.21,52039,1.04,0.07,0.77,hydrated
2025-04-18 11:34:00,-145.61,49402,0.95,0.06,0.92,mildly_dehydrated
2025-04-18 11:35:00,-75.98,52800,1.03,0.1,0.89,hydrated
2025-04-18 11:36:00,-99.05,55744,1.0,0.06,0.88,hydrated
2025-04-18 11:37:00,-178.59,46810,1.02,0.09,0.83,dehydrated
2025-04-18 11:38:00,-241.99,47368,1.07,0.07,0.93,dehydrated
2025-04-18 11:39:00,-123.68,50926,0.97,0.06,0.83,mildly_dehydrated
2025-04-18 11:40:00,-73.85,52876,1.03,0.06,0.85,hydrated
2025-04-18 11:41:00,-83.34,54876,1.11,0.07,0.85,hydrated
2025-04-18 11:42:00,-140.02,50720,0.99,0.04,0.87,mildly_dehydrated
2025-04-18 11:43:00,-175.73,44552,1.03,0.05,0.79,dehydrated
2025-04-18 11:44:00,-100.62,48160,1.01,0.09,0.92,mildly_dehydrated
2025-04-18 11:45:00,-85.4,55493,0.98,0.07,0.89,hydrated
2025-04-18 11:46:00,-222.32,45554,1.07,0.1,0.82,dehydrated
2025-04-18 11:47:00,-178.42,47454,1.02,0.06,0.82,dehydrated
2025-04-18 11:48:00,-152.86,43085,1.0,0.09,0.87,dehydrated
2025-04-18 11:49:00,-86.64,54059,0.98,0.09,0.78,hydrated
2025-04-18 11:50:00,-141.82,49564,0.94,0.09,0.83,mildly_dehydrated
2025-04-18 11:51:00,-101.51,49815,1.02,0.07,0.8,mildly_dehydrated
2025-04-18 11:52:00,-216.3,46973,0.92,0.06,0.91,dehydrated
2025-04-18 11:53:00,-141.65,48670,1.04,0.06,0.93,mildly_dehydrated
2025-04-18 11:54:00,-107.79,51222,1.05,0.07,0.84,mildly_dehydrated
2025-04-18 11:55:00,-136.51,48228,0.99,0.08,0.85,mildly_dehydrated
2025-04-18 11:56:00,-246.07,42732,1.04,0.07,0.85,dehydrated
2025-04-18 11:57:00,-147.92,48593,0.9,0.09,0.86,mildly_dehydrated
2025-04-18 11:58:00,-204.53,45093,1.1,0.07,0.89,dehydrated
2025-04-18 11:59:00,-139.91,50693,0.95,0.06,0.93,mildly_dehydrated
2025-04-18 12:00:00,-73.96,52708,1.04,0.08,0.86,hydrated
2025-04-18 12:01:00,-125.14,50471,1.02,0.07,0.89,mildly_dehydrated
2025-04-18 12:02:00,-99.09,55723,1.06,0.09,0.88,hydrated
2025-04-18 12:03:00,-130.31,50604,0.94,0.08,0.82,mildly_dehydrated
2025-04-18 12:04:00,-100.03,48192,1.0,0.08,0.86,mildly_dehydrated
2025-04-18 12:05:00,-121.65,50953,1.02,0.07,0.89,mildly_dehydrated
2025-04-18 12:06:00,-133.65,50670,1.03,0.08,0.84,mildly_dehydrated
2025-04-18 12:07:00,-168.22,42721,1.07,0.07,0.85,dehydrated
2025-04-18 12:08:00,-90.26,53465,1.08,0.05,0.81,hydrated
2025-04-18 12:09:00,-226.25,44239,0.89,0.1,0.89,dehydrated
2025-04-18 12:10:00,-81.42,53853,1.05,0.06,0.75,hydrated
2025-04-18 12:11:00,-247.44,44047,1.11,0.04,0.78,dehydrated
2025-04-18 12:12:00,-120.99,50134,1.07,0.08,0.87,mildly_dehydrated
2025-04-18 12:13:00,-71.33,52072,1.04,0.09,0.86,hydrated
2025-04-18 12:14:00,-92.7,55708,0.96,0.06,0.78,hydrated
2025-04-18 12:15:00,-221.51,43843,1.0,0.07,0.91,dehydrated
2025-04-18 12:16:00,-218.87,45662,0.95,0.09,0.81,dehydrated
2025-04-18 12:17:00,-231.89,46086,0.99,0.07,0.8,dehydrated
2025-04-18 12:18:00,-114.55,48427,0.92,0.08,0.85,mildly_dehydrated
2025-04-18 12:19:00,-75.82,54200,1.03,0.07,0.83,hydrated
2025-04-18 12:20:00,-71.46,54406,1.0,0.07,0.82,hydrated
2025-04-18 12:21:00,-81.67,53644,0.97,0.05,0.82,hydrated
2025-04-18 12:22:00,-171.95,43648,0.99,0.09,0.82,dehydrated
2025-04-18 12:23:00,-187.61,44710,1.01,0.05,0.86,dehydrated
2025-04-18 12:24:00,-176.31,47176,0.99,0.07,0.85,dehydrated
2025-04-18 12:25:00,-119.65,50186,0.99,0.06,0.8,mildly_dehydrated
2025-04-18 12:26:00,-82.17,53987,0.96,0.1,0.92,hydrated
2025-04-18 12:27:00,-115.38,51965,0.97,0.08,0.92,mildly_dehydrated
2025-04-18 12:28:00,-136.29,48317,0.97,0.05,0.82,mildly_dehydrated
2025-04-18 12:29:00,-97.92,54076,0.94,0.07,0.79,hydrated
2025-04-18 12:30:00,-73.6,54603,0.9,0.08,0.9,hydrated
2025-04-18 12:31:00,-70.18,54647,0.94,0.1,0.87,hydrated
2025-04-18 12:32:00,-203.48,42360,1.03,0.07,0.87,dehydrated
2025-04-18 12:33:00,-93.97,54143,0.95,0.07,0.81,hydrated
2025-04-18 12:34:00,-77.32,53390,1.05,0.08,0.81,hydrated
2025-04-18 12:35:00,-70.23,55708,0.98,0.09,0.86,hydrated
2025-04-18 12:36:00,-84.37,54494,1.01,0.06,0.86,hydrated
2025-04-18 12:37:00,-171.8,46252,0.99,0.05,0.8,dehydrated
2025-04-18 12:38:00,-241.24,47621,0.91,0.08,0.81,dehydrated
2025-04-18 12:39:00,-119.97,50062,0.89,0.07,0.88,mildly_dehydrated
2025-04-18 12:40:00,-150.78,47108,1.0,0.07,0.89,dehydrated
2025-04-18 12:41:00,-106.6,51223,0.99,0.06,0.89,mildly_dehydrated
2025-04-18 12:42:00,-97.57,53611,1.03,0.05,0.85,hydrated
2025-04-18 12:43:00,-117.95,51289,1.0,0.07,0.88,mildly_dehydrated
2025-04-18 12:44:00,-81.81,55059,1.0,0.04,0.81,hydrated
2025-04-18 12:45:00,-213.25,42409,0.98,0.07,0.87,dehydrated
2025-04-18 12:46:00,-153.42,44594,1.0,0.03,0.81,dehydrated
2025-04-18 12:47:00,-185.92,43296,0.99,0.1,0.9,dehydrated
2025-04-18 12:48:00,-142.4,48245,0.99,0.1,0.86,mildly_dehydrated
2025-04-18 12:49:00,-151.63,43435,0.98,0.06,0.84,dehydrated
2025-04-18 12:50:00,-180.78,42373,1.01,0.07,0.87,dehydrated
2025-04-18 12:51:00,-219.37,45743,1.06,0.02,0.89,dehydrated
2025-04-18 12:52:00,-143.46,51546,0.93,0.07,0.8,mildly_dehydrated
2025-04-18 12:53:00,-75.17,54934,0.91,0.06,0.75,hydrated
2025-04-18 12:54:00,-99.42,53039,0.97,0.08,0.79,hydrated
2025-04-18 12:55:00,-248.79,43447,1.01,0.07,0.87,dehydrated
2025-04-18 12:56:00,-239.03,45287,1.06,0.07,0.85,dehydrated
2025-04-18 12:57:00,-235.0,43948,0.95,0.07,0.92,dehydrated
2025-04-18 12:58:00,-212.41,44366,1.07,0.07,0.82,dehydrated
2025-04-18 12:59:00,-79.36,53750,1.05,0.08,0.83,hydrated
2025-04-18 13:00:00,-246.16,47410,1.11,0.06,0.88,dehydrated
2025-04-18 13:01:00,-186.33,45683,1.01,0.07,0.82,dehydrated
2025-04-18 13:02:00,-95.49,54949,1.1,0.07,0.84,hydrated
2025-04-18 13:03:00,-97.86,52048,1.01,0.04,0.81,hydrated
2025-04-18 13:04:00,-132.51,51098,0.95,0.08,0.9,mildly_dehydrated
2025-04-18 13:05:00,-136.75,48083,1.04,0.09,0.82,mildly_dehydrated
2025-04-18 13:06:00,-118.77,49527,0.98,0.06,0.9,mildly_dehydrated
2025-04-18 13:07:00,-80.68,54121,1.03,0.06,0.89,hydrated
2025-04-18 13:08:00,-101.0,50407,1.08,0.08,0.87,mildly_dehydrated
2025-04-18 13:09:00,-237.19,44029,1.05,0.05,0.77,dehydrated
2025-04-18 13:10:00,-86.82,54451,0.99,0.06,0.86,hydrated
2025-04-18 13:11:00,-221.41,46895,1.04,0.07,0.86,dehydrated
2025-04-18 13:12:00,-77.35,53842,1.02,0.08,0.88,hydrated
2025-04-18 13:13:00,-94.68,54180,1.06,0.08,0.82,hydrated
2025-04-18 13:14:00,-75.47,52854,1.06,0.07,0.86,hydrated
2025-04-18 13:15:00,-190.97,45050,1.09,0.08,0.78,dehydrated
2025-04-18 13:16:00,-115.56,51493,1.06,0.08,0.84,mildly_dehydrated
2025-04-18 13:17:00,-99.72,52986,0.94,0.07,0.82,hydrated
2025-04-18 13:18:00,-169.99,43224,1.08,0.08,0.8,dehydrated
2025-04-18 13:19:00,-89.34,55135,1.02,0.07,0.85,hydrated
2025-04-18 13:20:00,-111.95,48141,0.96,0.08,0.85,mildly_dehydrated
2025-04-18 13:21:00,-90.19,52595,1.02,0.08,0.84,hydrated
2025-04-18 13:22:00,-70.11,53473,1.09,0.06,0.86,hydrated
2025-04-18 13:23:00,-88.25,53650,1.05,0.04,0.9,hydrated
2025-04-18 13:24:00,-76.17,52371,0.97,0.12,0.83,hydrated
2025-04-18 13:25:00,-82.6,54245,1.01,0.11,0.9,hydrated
2025-04-18 13:26:00,-116.18,51219,1.04,0.06,0.82,mildly_dehydrated
2025-04-18 13:27:00,-98.24,53336,1.0,0.08,0.89,hydrated
2025-04-18 13:28:00,-110.57,50069,0.94,0.07,0.82,mildly_dehydrated
2025-04-18 13:29:00,-97.34,52882,0.91,0.1,0.88,hydrated
2025-04-18 13:30:00,-70.05,55732,0.95,0.11,0.9,hydrated
2025-04-18 13:31:00,-238.17,44459,1.03,0.06,0.89,dehydrated
2025-04-18 13:32:00,-121.41,50351,0.98,0.05,0.86,mildly_dehydrated
2025-04-18 13:33:00,-220.13,47644,0.91,0.06,0.79,dehydrated
2025-04-18 13:34:00,-73.82,55367,1.03,0.06,0.8,hydrated
2025-04-18 13:35:00,-143.33,48322,0.86,0.07,0.92,mildly_dehydrated
2025-04-18 13:36:00,-128.16,50918,0.97,0.08,0.81,mildly_dehydrated
2025-04-18 13:37:00,-112.43,50627,1.02,0.07,0.84,mildly_dehydrated
2025-04-18 13:38:00,-136.91,48987,0.99,0.08,0.89,mildly_dehydrated
2025-04-18 13:39:00,-127.51,51106,0.96,0.07,0.82,mildly_dehydrated
2025-04-18 13:40:00,-98.99,52250,0.88,0.09,0.88,hydrated
2025-04-18 13:41:00,-148.91,50655,0.99,0.07,0.87,mildly_dehydrated
2025-04-18 13:42:00,-71.9,52209,0.92,0.06,0.88,hydrated
2025-04-18 13:43:00,-94.06,54261,0.94,0.08,0.85,hydrated
2025-04-18 13:44:00,-189.15,44097,0.96,0.05,0.86,dehydrated
2025-04-18 13:45:00,-197.66,42688,1.06,0.08,0.88,dehydrated
2025-04-18 13:46:00,-97.97,54831,0.96,0.07,0.81,hydrated
2025-04-18 13:47:00,-141.71,51782,0.85,0.08,0.89,mildly_dehydrated
2025-04-18 13:48:00,-203.77,44470,1.03,0.11,0.85,dehydrated
2025-04-18 13:49:00,-169.36,44755,0.96,0.06,0.82,dehydrated
